,from,to,url,date,time
127,DIS,WMT,https://www.digitaltrends.com/home-theater/walmart-onn-2k-streaming-stick-specs-pricing-availability/,2021-03-15, 22:26:32.76739
489,CAT,IBM,https://www.marketscreener.com/quote/stock/NESTE-OYJ-1412495/news/Neste-Oyj-nbsp-Activist-investor-urges-Exxon-shareholders-to-vote-against-four-directors-32688757/,2021-03-15, 21:26:34.32924
836,AAPL,DIS,https://www.businessinsider.com/apple-tv-gets-first-oscar-nomination-for-wolfwalkers-greyhound-2021-3,2021-03-15, 22:27:35.94578
1189,AAPL,MSFT,https://www.gurufocus.com/news/1385701/laurel-wealth-advisors-llc-buys-vanguard-shortterm-inflationprotected-securities-berkshire-hathaway-inc-first-trust-nasdaq-cea-cybersecurity-etf-sells-invesco-bulletshares-2020-corporate-bond-etf-financial-select-sector-spdr-wells-fargo,2021-03-15, 21:26:37.56409
2145,DOW,MSFT,https://www.marketwatch.com/story/amazon-com-inc-stock-outperforms-competitors-despite-losses-on-the-day-01615845815-79d3224c79d7,2021-03-15, 22:26:39.15077
2147,DOW,WMT,https://www.marketwatch.com/story/amazon-com-inc-stock-outperforms-competitors-despite-losses-on-the-day-01615845815-79d3224c79d7,2021-03-15, 22:26:39.15077
2159,MSFT,WMT,https://www.marketwatch.com/story/amazon-com-inc-stock-outperforms-competitors-despite-losses-on-the-day-01615845815-79d3224c79d7,2021-03-15, 22:26:39.15077
3060,WBA,WMT,https://www.chicagotribune.com/business/ct-biz-cvs-covid-19-vaccine-illinois-stores-20210315-bzzixwhchvdunevz2aid6maini-story.html,2021-03-15, 22:26:42.80980
3477,WBA,WMT,https://finance.yahoo.com/news/karen-lynch-got-big-job-110000139.html,2021-03-15, 19:26:42.81798
5647,CVX,DOW,https://www.marketwatch.com/story/dow-flat-in-spite-of-losses-for-dow-inc-chevron-shares-2021-03-15,2021-03-15, 15:26:45.87303
5652,CVX,MSFT,https://www.marketwatch.com/story/dow-flat-in-spite-of-losses-for-dow-inc-chevron-shares-2021-03-15,2021-03-15, 15:26:45.87303
5663,DOW,MSFT,https://www.marketwatch.com/story/dow-flat-in-spite-of-losses-for-dow-inc-chevron-shares-2021-03-15,2021-03-15, 15:26:45.87303
6271,AXP,AAPL,https://www.gobankingrates.com/money/business/warren-buffett-gains-1-2-billion-in-10-weeks-on-chevron-investment/,2021-03-11, 23:26:45.88650
6279,AXP,CVX,https://www.gobankingrates.com/money/business/warren-buffett-gains-1-2-billion-in-10-weeks-on-chevron-investment/,2021-03-11, 23:26:45.88650
6289,AXP,VZ,https://www.gobankingrates.com/money/business/warren-buffett-gains-1-2-billion-in-10-weeks-on-chevron-investment/,2021-03-11, 23:26:45.88650
6299,AAPL,CVX,https://www.gobankingrates.com/money/business/warren-buffett-gains-1-2-billion-in-10-weeks-on-chevron-investment/,2021-03-11, 23:26:45.88650
6309,AAPL,VZ,https://www.gobankingrates.com/money/business/warren-buffett-gains-1-2-billion-in-10-weeks-on-chevron-investment/,2021-03-11, 23:26:45.88650
6433,CVX,VZ,https://www.gobankingrates.com/money/business/warren-buffett-gains-1-2-billion-in-10-weeks-on-chevron-investment/,2021-03-11, 23:26:45.88650
7069,AAPL,NKE,https://www.channelnewsasia.com/news/business/ford--infiniti-in-spotlight-on-china-consumer-rights-show-14415308,2021-03-15, 18:26:46.46599
9826,MCD,WBA,https://www.thestreet.com/markets/stock-market-dow-jones-industrial-average-nasdaq-bond-yields-031521,2021-03-15, 20:26:49.75483
10245,PG,WBA,https://progressivegrocer.com/walgreens-stays-local-search-vendors,2021-03-15, 19:26:49.75878
10692,AAPL,BA,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
10695,AAPL,CAT,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
10705,AAPL,GS,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
10711,AAPL,JPM,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
10726,AAPL,WBA,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
10731,BA,CAT,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
10741,BA,GS,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
10747,BA,JPM,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
10762,BA,WBA,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
10843,CAT,GS,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
10849,CAT,JPM,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
10864,CAT,WBA,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
11124,GS,JPM,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
11139,GS,WBA,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
11256,JPM,WBA,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
11907,GS,JPM,https://fintechzoom.com/fintech_news_chime/jpmorgan-chase-lenders-likely-to-take-49-stake-in-mall-of-america-west-edmonton-mall/,2021-03-15, 22:26:50.34805
15267,WBA,WMT,https://ksusentinel.com/2021/03/15/e-pharma-market-2021-2027-growth-enablers-strategies-major-competitors-kroger-walgreens-giant-eagle-walmart-express-scripts-cvs-health/,2021-03-15, 08:26:51.45699
20639,HD,WMT,https://www.foxbusiness.com/technology/google-professional-training-jobs-high-growth-fields,2021-03-15, 22:26:55.74093
23128,DIS,VZ,https://www.techdirt.com/articles/20210310/07402246397/comcast-lost-914-million-new-streaming-service-last-year.shtml,2021-03-15, 21:26:58.71209
25008,CSCO,INTC,https://www.crn.com.au/news/amd-raises-bar-against-intel-with-3rd-gen-epyc-milan-cpus-562184,2021-03-15, 20:27:00.17543
26910,IBM,MSFT,https://soccernurds.com/uncategorized/2279599/big-data-analytics-in-banking-market-to-set-new-growth-story-ibm-oracle-sap-se/,2021-03-15, 21:27:02.68710
27340,IBM,MSFT,https://finance.yahoo.com/news/oracles-soft-guidance-overshadowed-strong-151959671.html,2021-03-15, 19:27:02.69496
30293,INTC,MSFT,https://www.glamsham.com/world/technology/microsoft-intel-help-empower-smbs-with-modern-devices,2021-03-15, 21:27:05.56488
33490,AAPL,BA,https://finance.yahoo.com/news/key-earnings-week-latest-bellwethers-135748878.html,2021-03-15, 18:27:07.81668
33510,AAPL,GS,https://finance.yahoo.com/news/key-earnings-week-latest-bellwethers-135748878.html,2021-03-15, 18:27:07.81668
33513,AAPL,JPM,https://finance.yahoo.com/news/key-earnings-week-latest-bellwethers-135748878.html,2021-03-15, 18:27:07.81668
33518,AAPL,MSFT,https://finance.yahoo.com/news/key-earnings-week-latest-bellwethers-135748878.html,2021-03-15, 18:27:07.81668
33523,AAPL,NKE,https://finance.yahoo.com/news/key-earnings-week-latest-bellwethers-135748878.html,2021-03-15, 18:27:07.81668
33545,AAPL,WMT,https://finance.yahoo.com/news/key-earnings-week-latest-bellwethers-135748878.html,2021-03-15, 18:27:07.81668
33625,BA,GS,https://finance.yahoo.com/news/key-earnings-week-latest-bellwethers-135748878.html,2021-03-15, 18:27:07.81668
33628,BA,JPM,https://finance.yahoo.com/news/key-earnings-week-latest-bellwethers-135748878.html,2021-03-15, 18:27:07.81668
33633,BA,MSFT,https://finance.yahoo.com/news/key-earnings-week-latest-bellwethers-135748878.html,2021-03-15, 18:27:07.81668
33638,BA,NKE,https://finance.yahoo.com/news/key-earnings-week-latest-bellwethers-135748878.html,2021-03-15, 18:27:07.81668
33660,BA,WMT,https://finance.yahoo.com/news/key-earnings-week-latest-bellwethers-135748878.html,2021-03-15, 18:27:07.81668
34558,GS,JPM,https://finance.yahoo.com/news/key-earnings-week-latest-bellwethers-135748878.html,2021-03-15, 18:27:07.81668
34563,GS,MSFT,https://finance.yahoo.com/news/key-earnings-week-latest-bellwethers-135748878.html,2021-03-15, 18:27:07.81668
34568,GS,NKE,https://finance.yahoo.com/news/key-earnings-week-latest-bellwethers-135748878.html,2021-03-15, 18:27:07.81668
34590,GS,WMT,https://finance.yahoo.com/news/key-earnings-week-latest-bellwethers-135748878.html,2021-03-15, 18:27:07.81668
34668,JPM,MSFT,https://finance.yahoo.com/news/key-earnings-week-latest-bellwethers-135748878.html,2021-03-15, 18:27:07.81668
34673,JPM,NKE,https://finance.yahoo.com/news/key-earnings-week-latest-bellwethers-135748878.html,2021-03-15, 18:27:07.81668
34695,JPM,WMT,https://finance.yahoo.com/news/key-earnings-week-latest-bellwethers-135748878.html,2021-03-15, 18:27:07.81668
34828,MSFT,NKE,https://finance.yahoo.com/news/key-earnings-week-latest-bellwethers-135748878.html,2021-03-15, 18:27:07.81668
34850,MSFT,WMT,https://finance.yahoo.com/news/key-earnings-week-latest-bellwethers-135748878.html,2021-03-15, 18:27:07.81668
34980,NKE,WMT,https://finance.yahoo.com/news/key-earnings-week-latest-bellwethers-135748878.html,2021-03-15, 18:27:07.81668
52215,AAPL,NKE,https://www.investors.com/market-trend/stock-market-today/dow-jones-dips-airline-stocks-soar-on-bookings-germany-france-suspend-covid-vaccine-apple-stock-tesla-stock/,2021-03-15, 20:27:25.23417
53067,JPM,JNJ,https://www.dallasnews.com/business/airlines/2021/03/15/boost-in-spring-travel-gives-glimmers-of-hope-to-battered-airlines/,2021-03-15, 19:27:25.23802
63701,AXP,AAPL,https://neighborwebsj.com/uncategorized/4743835/mobile-payment-technologies-market-to-witness-huge-growth-by-2028-visa-american-express-boku/,2021-03-15, 19:27:29.92811
63718,AXP,V,https://neighborwebsj.com/uncategorized/4743835/mobile-payment-technologies-market-to-witness-huge-growth-by-2028-visa-american-express-boku/,2021-03-15, 19:27:29.92811
63735,AAPL,V,https://neighborwebsj.com/uncategorized/4743835/mobile-payment-technologies-market-to-witness-huge-growth-by-2028-visa-american-express-boku/,2021-03-15, 19:27:29.92811
63891,AXP,V,https://www.businessinsider.com/mastercard-esports-league-of-legends-sponsorships-co-branded-cards-lol-2021-3,2021-03-15, 17:27:29.93567
64791,MSFT,WMT,https://www.cnet.com/how-to/where-you-can-buy-an-xbox-series-x-inventory-at-amazon-best-buy-walmart-other-retailers/,2021-03-15, 20:27:33.04892
67132,MRK,WBA,https://www.phillytrib.com/rosalind-brewer-officially-takes-the-helm-at-walgreens-becoming-the-only-black-woman-fortune-500/article_e0592637-b91f-5444-8b95-da6d546cb392.html,2021-03-15, 18:27:40.01752
67134,MRK,WMT,https://www.phillytrib.com/rosalind-brewer-officially-takes-the-helm-at-walgreens-becoming-the-only-black-woman-fortune-500/article_e0592637-b91f-5444-8b95-da6d546cb392.html,2021-03-15, 18:27:40.01752
67248,WBA,WMT,https://www.phillytrib.com/rosalind-brewer-officially-takes-the-helm-at-walgreens-becoming-the-only-black-woman-fortune-500/article_e0592637-b91f-5444-8b95-da6d546cb392.html,2021-03-15, 18:27:40.01752
68901,CRM,VZ,https://bisouv.com/uncategorized/3173908/ad-tech-market-to-witness-huge-growth-by-2026-telaria-oracle-amazon/,2021-03-15, 20:27:43.12960
367636,MMM,IBM,https://bisouv.com/uncategorized/3174196/cognitive-cloud-computing-market-is-going-to-boom-with-3m-google-hewlett-packard-enterprise-development/,2021-03-15, 21:28:04.83006
373158,MSFT,CRM,https://ksusentinel.com/2021/03/15/enterprise-software-market-emerging-trends-applications-business-strategies-growth-size-future-scope-key-players-microsoft-ibm-oracle-salesforce-sap-se-broadcom-hewlett-packardand-more/,2021-03-15, 17:28:15.64485
